Symbol,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,PnL,ExitReason,VolumeRatio,ValueTraded,ConsolidationRatio,IsBreakingSR
ONGC,2025-07-31 10:26:00,2025-07-31 10:28:00,Long,241.06,240.6563746342357,-334.60542821860366,SL,15.61,8.55,0.0058,True
ONGC,2025-08-06 10:47:00,2025-08-06 11:06:00,Long,234.46,234.13259826624875,-279.2736788898238,SL,10.62,7.17,0.0038,True
PREMIERENE,2025-08-06 10:58:00,2025-08-06 11:29:00,Long,1002.8,1004.3,298.5,TIME_STOP,22.23,7.23,0.0098,True
RBLBANK,2025-08-08 10:28:00,2025-08-08 10:30:00,Short,267.55,266.76150261060184,-589.0075498804358,SL,6.55,8.03,0.0041,True
SAIL,2025-07-29 10:42:00,2025-07-29 11:35:00,Short,125.5,125.9646959393953,740.260631456702,SL,12.13,12.86,0.0041,True
SONACOMS,2025-07-31 10:00:00,2025-07-31 10:31:00,Short,451.8,454.05,994.5,TIME_STOP,25.55,14.77,0.0109,True
SUNPHARMA,2025-07-29 10:37:00,2025-07-29 10:39:00,Short,1705.3,1702.7146452861405,-302.48650152156006,SL,8.28,10.04,0.0028,True
SUZLON,2025-08-12 10:48:00,2025-08-12 10:50:00,Long,64.82,64.46420007139999,-1097.6427797310212,SL,8.49,15.51,0.018,True
TATAMOTORS,2025-08-07 10:09:00,2025-08-07 11:40:00,Short,641.15,644.6108375289879,1076.3204715152192,SL,5.18,9.01,0.0063,True
TATAPOWER,2025-08-06 11:00:00,2025-08-06 11:01:00,Long,385.8,384.7242527591495,-557.2370707605536,SL,9.41,7.18,0.0098,True
TATAPOWER,2025-08-13 10:58:00,2025-08-13 11:29:00,Long,386.4,387.15,387.75,TIME_STOP,21.14,7.88,0.004,True
TECHM,2025-08-05 10:05:00,2025-08-05 10:06:00,Long,1475.1,1472.632716632112,-333.0832546648571,SL,20.01,19.63,0.0043,True
TORNTPHARM,2025-07-29 10:03:00,2025-07-29 10:34:00,Long,3729.3,3742.5,699.5999999999904,TIME_STOP,8.43,9.39,0.0111,True
TORNTPHARM,2025-07-29 10:04:00,2025-07-29 10:35:00,Long,3737.5,3742.2,249.09999999999036,TIME_STOP,6.37,7.33,0.0116,True
TORNTPHARM,2025-08-01 10:47:00,2025-08-01 11:21:00,Short,3687.1,3714.5824981390792,1484.0548995102836,PARTIAL_EXIT_2,17.5,8.16,0.0049,True
ULTRACEMCO,2025-08-01 10:17:00,2025-08-01 10:39:00,Long,12219.0,12232.527610125691,216.44176201106166,SL,19.03,13.84,0.0014,True
VIJAYA,2025-08-01 10:19:00,2025-08-01 10:20:00,Short,1079.3,1073.5346141413706,-1066.5963838464234,SL,60.46,9.54,0.0117,True
WHIRLPOOL,2025-07-30 10:04:00,2025-07-30 10:06:00,Short,1378.0,1374.6657319957924,-483.46886061010423,SL,61.32,8.21,0.0079,True
ZENTEC,2025-08-01 10:26:00,2025-08-01 10:57:00,Long,1531.5,1537.3,753.9999999999941,TIME_STOP,23.99,14.02,0.0138,True
